Year,Gross output at basic prices £ million,Intermediate consumption £ million,Total Income from Farming £ million,Agriculture's share of total regional employment %,Country
1995,14741.13395,7491.237513,3668.645578,,England
1996,14953.91525,7899.516821,3435.519412,,England
1997,13333.99529,7471.958591,2028.487016,,England
1998,12329.06502,7008.115373,1472.714219,,England
1999,11925.87398,6876.277934,1535.012998,,England
2000,10962.54165,6483.353384,941.3955693,1.31970297,England
2001,11202.9035,6807.912253,809.8664539,1.306182532,England
2002,11430.79279,6479.670233,1357.03556,1.276558404,England
2003,11709.72498,6449.296365,1694.826554,1.20532223,England
2004,12151.11336,7166.581494,1446.514083,1.227242336,England
2005,10964.51037,6994.284786,1485.227814,1.20371704,England
2006,10763.31798,6893.947258,1422.343375,1.184951094,England
2007,11469.47404,7400.593951,1473.154706,1.139402474,England
2008,14976.40095,9376.214113,2894.54619,1.146549637,England
2009,14637.44014,8996.078352,3125.122795,1.091419232,England
2010,15207.45364,9755.622348,2773.950511,1.19058642,England
2011,17608.24671,10794.44492,3656.42848,1.222040783,England
2012,18031.95408,11049.1331,3549.199871,1.227807337,England
2013,19184.47448,11827.98496,3915.043846,1.172308821,England
2014,19186.68967,11510.28574,3840.016355,1.163839864,England
2015,17865.643,11066.9825,2968.020335,1.160729655,England
2016,17228.54792,10807.13218,2740.294894,1.123811174,England
2017,19388.08195,11385.86476,4221.881896,1.130153052,England
2018,19687.78603,12259.89689,3461.397188,1.128457606,England
2019,20260.13104,12154.07933,3995.296266,1.103970525,England
1995,1284.47759,678.552,283.7844636,,Wales 
1996,1389.68274,704.808,342.8232149,,Wales 
1997,1187.78803,692.894,164.5020572,,Wales 
1998,1065.315784,676.119,60.95204049,,Wales 
1999,1054.325727,675.3,55.20817085,,Wales 
2000,1045.36786,642.334,86.48958655,4.423571429,Wales 
2001,1002.105456,641.44,94.44688412,4.451974724,Wales 
2002,1026.882788,666.482,110.9914818,4.30696251,Wales 
2003,1102.84637,651.676,196.5904102,4.202643505,Wales 
2004,1171.836236,685.238,224.659788,4.317430503,Wales 
2005,961.159131,748.777,130.3788024,4.123393502,Wales 
2006,924.461273,810.2313475,56.62259837,4.013157895,Wales 
2007,994.820788,851.5283061,70.34237172,4.038243626,Wales 
2008,1126.972408,959.5506255,112.2513697,4.08177305,Wales 
2009,1176.26817,977.5054262,143.640444,4.069037356,Wales 
2010,1248.117631,1070.980856,107.7687233,4.328443114,Wales 
2011,1398.431926,1107.410266,220.1016837,4.288913363,Wales 
2012,1397.677284,1158.680168,146.5514244,4.270226774,Wales 
2013,1542.979678,1208.752743,209.7609466,3.818601298,Wales 
2014,1643.518334,1184.637229,273.3025726,4.336072727,Wales 
2015,1475.26509,1056.958854,190.0502055,4.092561404,Wales 
2016,1420.583419,1044.496937,177.7894129,3.704083045,Wales 
2017,1591.746022,1080.838893,349.6502139,3.589633725,Wales 
2018,1684.823625,1110.53423,379.0066394,3.511021505,Wales 
2019,1602.179345,1133.402771,260.7703165,3.507666667,Wales 
1995,2414.713862,1178.141551,669.7427284,,Scotland
1996,2333.608621,1270.208792,472.1781831,,Scotland
1997,2111.596112,1220.704696,285.516432,,Scotland
